##1
#EAN Product Code,0,15,0
#Product Description,0,35,0
#Internal Product Code,0,25,0
#
|0000020937508  |คูลิคูลิขนมอบกรอบ 30 ก(ของแถม)     |475045                   
|0000020949648  |ชาขาวเพียวริคุ 500 มล              |920012                   
|0100003911     |คูลิคูลิรสการ์ลิคออเนียน70g(1*10*6)|475170                   
|18554761160119 |น้ำมะม่วง+เสาวรส30% 1000ml         |331621                   
|18854761000118 |น้ำส้ม+เกร็ดส้ม 100% 1 L (1x12)    |330111                   
|18854761000132 |น้ำส้ม+เกร็ดส้ม 100% 1 L (1x4x2)   |330112                   
|18854761004017 |น้ำส้ม+เกร็ดส้ม can 240ml (1x30)   |330123                   
|18854761004062 |น้ำส้ม20%+เกร็ดส้ม can 230ml (5x6) |330124                   
|18854761010117 |น้ำองุ่นแดง 100% 1 L (1x12)        |330211                   
|18854761010131 |น้ำองุ่นแดง 100% 1L (1x4x3)        |330212                   
|18854761010216 |น้ำองุ่นแดง+องุ่นขาว40%200ml (1x36)|331435                   
|18854761010230 |น้ำองุ่นแดง 40%180ml (กล่อง)       |331437                   
|18854761010230 |องุ่นแดง+องุ่นขาว40% 180ml(12x3)   |331489                   
|18854761010247 |น้ำองุ่นแดง+องุ่นขาว40%200ml(1x6x6)|331436                   
|18854761014016 |น้ำองุ่นแดง30% can 240ml (1x30)    |330223                   
|18854761014061 |น้ำองุ่นแดง30% can 240ml (1x5x6)   |330224                   
|18854761020116 |น้ำแอปเปิ้ล+องุ่น100% 1L(1x12)     |330311                   
|18854761020130 |น้ำแอปเปิ้ล+องุ่น100% 1L (1x4x3)   |330312                   
|18854761020215 |น้ำแอปเปิ้ล+องุ่น40% 200ml (1x36)  |330335                   
|18854761020239 |น้ำแอปเปิ้ลผลมองุ่น40%200ml        |330337                   
|18854761020239 |แอปเปิ้ล+องุ่น 40%180ml (12x3)     |330389                   
|18854761020246 |น้ำแอปเปิ้ล+องุ่น40% 200ml (6x6)   |330386                   
